Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink Jeep is crossing the road (near) and switching lane.,100000,6.947596,4.96,False,None,0
0,0_scenario_1,A red Hatchback is crossing the road (far) and switching lane.,0.313562,7.298314,1.3,False,None,0
0,0_scenario_2,A red Hatchback is driving from the opposite direction (near) and switching lane.,1.143096,16.269255,6.720000000000001,False,None,0
0,0_scenario_3,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,3.411332,6.838303,1.0199999999999996,False,None,0
0,0_scenario_4,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,1.785121,4.06803,2.1799999999999997,False,None,0
0,0_scenario_5,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.517198,6.199121,5.859999999999999,False,None,0
0,0_scenario_6,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.330763,12.083882,4.14,False,None,0
0,0_scenario_7,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,0.499564,12.793441,5.64,False,None,0
1,1_scenario_0,A red SUV is crossing the road (near) and maintaining lane.,0.792899,9.680289,2.1599999999999997,False,None,0
1,1_scenario_1,A yellow Sedan is crossing the road (far) and switching lane.,0.421788,8.214606,2.9600000000000004,False,None,0
1,1_scenario_2,A red SUV is crossing the road (near) and maintaining lane.,1.055237,8.369148,6.22,False,None,0
1,1_scenario_3,A red SUV is crossing the road (near) and maintaining lane.,1.729719,11.239776,11.92,False,None,0
1,1_scenario_4,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,2.984908,8.569607,8.440000000000001,False,None,0
1,1_scenario_5,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,0.455538,3.017927,5.119999999999999,False,None,0
1,1_scenario_6,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,0.852607,23.893468,2.54,False,None,0
1,1_scenario_7,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,0.719158,4.743477,4.779999999999999,False,None,0
1,1_scenario_8,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,1.797998,14.097211,3.3,False,None,0
1,1_scenario_9,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.720939,10.900462,4.88,False,None,0
1,1_scenario_10,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,3.33453,5.030531,7.04,False,None,0
1,1_scenario_11,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,0.996323,7.807683,7.02,False,None,0
1,1_scenario_12,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.318857,4.411735,1.08,False,None,0
2,2_scenario_0,A red SUV is crossing the road (near) and maintaining lane.,1.378948,9.89035,14.219999999999999,False,None,0
2,2_scenario_1,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.91757,4.894081,11.68,True,npc_vehicle,1.1258556660511734
3,3_scenario_0,A red Hatchback is crossing the road (near) and switching lane.,0.608385,7.04114,4.1000000000000005,False,None,0
3,3_scenario_1,A yellow Sedan is crossing the road (far) and switching lane.,0.359806,9.593939,3.0,False,None,0
3,3_scenario_2,A black SUV is driving from the opposite direction (far) and switching lane.,1.005448,13.07631,0.6,False,None,0
3,3_scenario_3,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,0.527485,5.403513,9.899999999999999,False,None,0
3,3_scenario_4,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.610286,6.266505,4.84,False,None,0
3,3_scenario_5,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,2.774235,4.001379,3.26,False,None,0
3,3_scenario_6,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,2.398172,9.710866,10.28,False,None,0
3,3_scenario_7,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,4.088578,5.005665,5.3,True,npc_vehicle,0.36610330671372254
4,4_scenario_0,A red Hatchback is crossing the road (near) and switching lane.,100000,8.00208,6.54,False,None,0
4,4_scenario_1,A red Hatchback is crossing the road (far) and switching lane.,0.572542,9.268341,3.1999999999999997,False,None,0
4,4_scenario_2,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.977357,5.673344,8.72,False,None,0
4,4_scenario_3,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.74324,5.983624,2.7399999999999998,False,None,0
4,4_scenario_4,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.513697,6.035108,10.100000000000001,False,None,0
4,4_scenario_5,A skyblue SUV is crossing the road (far) and maintaining lane.,2.428489,5.76599,3.6999999999999997,False,None,0
4,4_scenario_6,A red SUV is crossing the road (near) and maintaining lane.,1.013217,8.671611,9.0,False,None,0
4,4_scenario_7,A red SUV is crossing the road (near) and maintaining lane.,1.204276,9.780999,7.64,False,None,0
4,4_scenario_8,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,2.884762,11.006077,4.84,False,None,0
4,4_scenario_9,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,0.647745,9.717156,1.02,False,None,0
4,4_scenario_10,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,1.524999,5.603491,8.18,False,None,0
4,4_scenario_11,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.681914,9.479861,6.72,False,None,0
4,4_scenario_12,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.813038,6.980651,4.199999999999999,False,None,0
4,4_scenario_13,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,2.019225,4.846511,6.2,True,npc_vehicle,3.1861873949882087
5,5_scenario_0,A red Hatchback is crossing the road (near) and switching lane.,100000,8.723653,5.58,False,None,0
5,5_scenario_1,A pink SUV is crossing the road (far) and switching lane.,0.702763,11.436545,5.02,False,None,0
5,5_scenario_2,A black SchoolBus is crossing the road (near) and maintaining lane.,0.788886,8.078321,12.54,False,None,0
5,5_scenario_3,A black SchoolBus is crossing the road (near) and maintaining lane.,0.384784,10.023031,2.76,False,None,0
