Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,1.414837,12.772478,2.8999999999999995,False,None,0.0
0,0_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,1.877835,6.862027,7.6,False,None,0.0
0,0_scenario_2,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,0.674169,11.118013,3.7,False,None,0.0
0,0_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,2.015887,9.64639,6.58,False,None,0.0
0,0_scenario_4,A pink BoxTruck is crossing the road (near) and switching lane.,1.22548,6.58559,0.0,False,None,0.0
0,0_scenario_5,A yellow Sedan is crossing the road (far) and maintaining lane.,100000.0,12.592157,0.0,False,None,0.0
0,0_scenario_6,A pink Hatchback is crossing the road (far) and maintaining lane.,100000.0,3.248019,0.0,False,None,0.0
0,0_scenario_7,A pedestrian is crossing the road from left to right.,100000.0,3.401525,0.0,False,None,0.0
0,0_scenario_8,A skyblue SUV is crossing the road (far) and maintaining lane.,100000.0,17.197459,0.0,False,None,0.0
1,1_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.322657,5.811427,0.86,False,None,0.0
1,1_scenario_1,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,2.212614,5.57791,7.08,False,None,0.0
1,1_scenario_2,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.794116,8.422485,8.76,False,None,0.0
1,1_scenario_3,A pink Jeep is crossing the road (near) and switching lane.,0.764783,8.08539,2.7,False,None,0.0
1,1_scenario_4,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,0.854304,7.874328,8.26,False,None,0.0
1,1_scenario_5,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,0.59518,2.843079,6.460000000000001,False,None,0.0
1,1_scenario_6,A red Jeep is overtaking (near) the ego vehicle and switching lane.,0.296642,4.169726,6.64,False,None,0.0
1,1_scenario_7,A yellow SUV is driving from the opposite direction (near) and switching lane.,1.194472,19.80187,6.120000000000001,False,None,0.0
1,1_scenario_8,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,2.139288,7.816196,13.38,False,None,0.0
1,1_scenario_9,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.132307,3.176894,5.18,False,None,0.0
1,1_scenario_10,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,0.750186,4.149164,8.82,False,None,0.0
1,1_scenario_11,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,0.797133,9.469823,3.2,False,None,0.0
1,1_scenario_12,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,0.767612,0.965511,2.38,False,None,0.0
1,1_scenario_13,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,0.637326,3.389698,4.14,False,None,0.0
1,1_scenario_14,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.685512,3.552807,4.680000000000001,False,None,0.0
1,1_scenario_15,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,0.506337,2.583469,5.640000000000001,False,None,0.0
1,1_scenario_16,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,0.193358,1.111814,3.48,False,None,0.0
1,1_scenario_17,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,0.536335,2.095367,4.42,False,None,0.0
2,2_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,5.062311,3.78,False,None,0.0
2,2_scenario_1,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.377446,6.644568,9.72,False,None,0.0
2,2_scenario_2,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,5.130008,8.68,False,None,0.0
2,2_scenario_3,A yellow Sedan is driving from the opposite direction (near) and switching lane.,1.592426,8.049016,2.0,False,None,0.0
2,2_scenario_4,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,1.343165,4.834601,0.4399999999999999,False,None,0.0
2,2_scenario_5,A black SUV is crossing the road (near) and switching lane.,0.776424,3.884257,14.34,False,None,0.0
